Distance,Group
1.109736894181131,Ref.-Ref.
1.1468456796653932,Ref.-Ref.
1.5603286680870747,Ref.-Ref.
1.2990869721639766,Ref.-Ref.
1.2805184512570262,Ref.-Ref.
1.3356213285051493,Ref.-Ref.
1.660127297814067,Ref.-Ref.
1.4209609771018192,Ref.-Ref.
1.8705783525406117,Ref.-Ref.
1.4862797622308448,Ref.-Ref.
1.3529817492381275,Ref.-Ref.
1.5192222018924342,Ref.-Ref.
1.3960427080043625,Ref.-Ref.
1.2798889127080522,Ref.-Ref.
1.4633584929980115,Ref.-Ref.
1.3750291335731828,Ref.-Ref.
1.3224536137912306,Ref.-Ref.
1.700285610429383,Ref.-Ref.
1.4521408055594505,Ref.-Ref.
1.9345040800421727,Ref.-Ref.
1.272439964394241,Ref.-Ref.
1.8188613013998869,Ref.-Ref.
1.5009206411532103,Ref.-Ref.
1.053130236549746,Ref.-Ref.
1.4508542152279325,Ref.-Ref.
1.6295909118751775,Ref.-Ref.
1.3917250061566577,Ref.-Ref.
1.4997653017943056,Ref.-Ref.
1.183708657958923,Ref.-Ref.
1.4258743556994324,Ref.-Ref.
1.2287489693719338,Ref.-Ref.
1.7418934340409566,Ref.-Ref.
1.2728787441897047,Ref.-Ref.
1.06377454798128,Ref.-Ref.
1.678383292006485,Ref.-Ref.
1.5133073779002753,Ref.-Ref.
1.523871222441099,Ref.-Ref.
1.1327246574083267,Ref.-Ref.
1.7495534906311738,Ref.-Ref.
1.5440963564431867,Ref.-Ref.
1.9301132411373911,Ref.-Ref.
1.516343275628594,Ref.-Ref.
1.9663219188799095,Ref.-Ref.
1.194359139598949,Ref.-Ref.
1.508391063525023,Ref.-Ref.
1.3688046634130753,Ref.-Ref.
1.4829891302420644,Ref.-Ref.
1.202588243918883,Ref.-Ref.
1.4193905836118552,Ref.-Ref.
1.6092323970958222,Ref.-Ref.
1.4057296014885907,Ref.-Ref.
1.8295574297538921,Ref.-Ref.
1.5059981265060596,Ref.-Ref.
1.665381398763034,Ref.-Ref.
1.7808011267992845,Ref.-Ref.
1.528628494126308,Ref.-Ref.
1.418941836170397,Ref.-Ref.
1.1536386829721692,Ref.-Ref.
1.3664688021659086,Ref.-Ref.
1.297089464375963,Ref.-Ref.
1.5767070000319905,Ref.-Ref.
1.9978922202598772,Ref.-Ref.
1.505041783806112,Ref.-Ref.
1.4767155861165162,Ref.-Ref.
1.7637671368972974,Ref.-Ref.
1.405600984345043,Ref.-Ref.
1.556724919350056,Ref.-Ref.
1.1860896687416476,Ref.-Ref.
1.711494138072619,Ref.-Ref.
1.2804280720002654,Ref.-Ref.
1.588966839780716,Ref.-Ref.
1.6539293608754662,Ref.-Ref.
1.1219845197943896,Ref.-Ref.
1.5904684044370423,Ref.-Ref.
1.3661012799326746,Ref.-Ref.
1.4944219151191027,Ref.-Ref.
1.3396120397321953,Ref.-Ref.
2.316900242231231,Ref.-Ref.
1.5249834239321047,Ref.-Ref.
1.431305710194861,Ref.-Ref.
1.279768528058852,Ref.-Ref.
1.7141066364316107,Ref.-Ref.
1.4265138377414601,Ref.-Ref.
1.4978575665401401,Ref.-Ref.
1.170313769980937,Ref.-Ref.
1.4239188708754162,Ref.-Ref.
1.2331791642594618,Ref.-Ref.
1.8980452972887685,Ref.-Ref.
1.4032787418350356,Ref.-Ref.
1.1632683883194168,Ref.-Ref.
1.3094786849275204,Ref.-Ref.
1.9381977620287176,Ref.-Ref.
1.3728585815134284,Ref.-Ref.
1.882040378524901,Ref.-Ref.
1.7786977516280484,Ref.-Ref.
1.4624812651931896,Ref.-Ref.
1.1863370283452792,Ref.-Ref.
1.30604742799409,Ref.-Ref.
1.5097406533458049,Ref.-Ref.
1.3756808749196332,Ref.-Ref.
1.6557265369664573,Ref.-Ref.
1.5948983212435415,Ref.-Ref.
1.6575541087650019,Ref.-Ref.
1.3788861295698813,Ref.-Ref.
1.4839580548487035,Ref.-Ref.
1.1404602496990577,Ref.-Ref.
1.237855982441161,Ref.-Ref.
1.4565889576287443,Ref.-Ref.
1.4113663962798182,Ref.-Ref.
1.3034738191269253,Ref.-Ref.
1.5840638323948912,Ref.-Ref.
1.3982087078225953,Ref.-Ref.
1.6468480476731466,Ref.-Ref.
1.5959784176818064,Ref.-Ref.
1.1817300018564278,Ref.-Ref.
1.9512221440439257,Ref.-Ref.
1.2611936661579326,Ref.-Ref.
1.7879779838158123,Ref.-Ref.
1.4103608951394457,Ref.-Ref.
1.560209784141548,Ref.-Ref.
1.2059968551000404,Ref.-Ref.
2.125283262005809,Ref.-Ref.
1.399659577866642,Ref.-Ref.
1.9369860048665446,Ref.-Ref.
1.5909638742132508,Ref.-Ref.
1.406836008116993,Ref.-Ref.
1.6209572503369487,Ref.-Ref.
1.5806237047651062,Ref.-Ref.
1.3913290647289058,Ref.-Ref.
1.3728852181087894,Ref.-Ref.
1.5512604413154654,Ref.-Ref.
2.0858721338000015,Ref.-Ref.
1.5889809513883937,Ref.-Ref.
1.8108026044756051,Ref.-Ref.
1.8558784895218086,Ref.-Ref.
1.470050448846623,Ref.-Ref.
1.4803790325808195,Ref.-Ref.
1.4194955092738075,Ref.-Ref.
1.3903647022132652,Ref.-Ref.
1.5263593537060889,Ref.-Ref.
1.6803967960506818,Ref.-Ref.
1.4598424237752559,Ref.-Ref.
1.2308853250824803,Ref.-Ref.
1.2378378342485026,Ref.-Ref.
1.469943098548618,Ref.-Ref.
1.2453764410789443,Ref.-Ref.
1.2554173389672727,Ref.-Ref.
1.552850278239383,Ref.-Ref.
1.4002948504111021,Ref.-Ref.
1.5291053390936105,Ref.-Ref.
1.5753105961969638,Ref.-Ref.
1.649165830217389,Ref.-Ref.
1.269185486777479,Ref.-Ref.
1.2481612402254951,Ref.-Ref.
1.5495459796042725,Ref.-Ref.
1.414561002248838,Ref.-Ref.
1.68075697223085,Ref.-Ref.
1.7515345925072194,Ref.-Ref.
1.3760090687667115,Ref.-Ref.
1.4458822656871255,Ref.-Ref.
1.3629727336775694,Ref.-Ref.
1.9065750198053086,Ref.-Ref.
1.527544004018086,Ref.-Ref.
1.5520309030334474,Ref.-Ref.
1.5095774571753409,Ref.-Ref.
1.2944846372799361,Ref.-Ref.
1.6178245719655824,Ref.-Ref.
1.2410973359774713,Ref.-Ref.
1.5913879161424285,Ref.-Ref.
1.5242070263953411,Ref.-Ref.
1.5414688868390678,Ref.-Ref.
1.234409663794688,Ref.-Ref.
1.2332688743351512,Ref.-Ref.
1.2383050189602471,Ref.-Ref.
1.3911824569374986,Ref.-Ref.
1.613151564341383,Ref.-Ref.
1.4445152576500662,Ref.-Ref.
1.4006594164630188,Ref.-Ref.
2.31484321373978,Ref.-Ref.
1.7710463204542262,Ref.-Ref.
1.312459873392474,Ref.-Ref.
1.7327236701660624,Ref.-Ref.
1.9203537118067722,Ref.-Ref.
1.3007760925354626,Ref.-Ref.
1.4717159845510626,Ref.-Ref.
1.1705509103911895,Ref.-Ref.
1.5377104358689409,Ref.-Ref.
1.5065603937798466,Ref.-Ref.
1.4051374311312683,Ref.-Ref.
1.5618463504454083,Ref.-Ref.
1.8128611261698089,Ref.-Ref.
1.3717927169486943,Ref.-Ref.
1.3118224794948656,Ref.-Ref.
1.4899187762047477,Ref.-Ref.
1.459415857226162,Ref.-Ref.
1.629169235388426,Ref.-Ref.
1.4190453939983854,Ref.-Ref.
2.0136798466439134,Ref.-Ref.
1.0608905921776803,Ref.-Ref.
1.352959322969709,Ref.-Ref.
1.2954224638873686,Ref.-Ref.
1.7087417889661425,Ref.-Ref.
1.5674312588368229,Ref.-Ref.
1.8545592043446006,Ref.-Ref.
1.81312666844195,Ref.-Ref.
1.5428090288403344,Ref.-Ref.
1.4945736142853456,Ref.-Ref.
1.1807488835399074,Ref.-Ref.
1.4187148805284024,Ref.-Ref.
1.481928575201719,Ref.-Ref.
1.7655068044277775,Ref.-Ref.
1.5542743835859822,Ref.-Ref.
1.1246626865830298,Ref.-Ref.
1.415271567972569,Ref.-Ref.
1.5429905348045065,Ref.-Ref.
1.3822327870719382,Ref.-Ref.
1.2140347086223429,Ref.-Ref.
2.079852514129015,Ref.-Ref.
1.4224621629161127,Ref.-Ref.
1.3812085956529747,Ref.-Ref.
1.3675513703534696,Ref.-Ref.
1.825248583636066,Ref.-Ref.
2.1693009502742493,Ref.-Ref.
1.5922440685705892,Ref.-Ref.
1.2662420950283186,Ref.-Ref.
1.3815084315911832,Ref.-Ref.
